Age,Gender,City,Position ,Total years of experience,Years of experience in Germany,Seniority level,Your main technology / programming language,Other technologies/programming languages you use often,Yearly brutto salary (without bonus and stocks) in EUR,Yearly bonus + stocks in EUR,Annual brutto salary (without bonus and stocks) one year ago. Only answer if staying in the same country,Annual bonus+stocks one year ago. Only answer if staying in same country,Number of vacation days,Employment status,Сontract duration,Main language at work,Company size,Company type,Have you lost your job due to the coronavirus outbreak?,"Have you been forced to have a shorter working week (Kurzarbeit)? If yes, how many hours per week","Have you received additional monetary support from your employer due to Work From Home? If yes, how much in 2020 in EUR"
32.0,male,berlin,Software Development,3.0,1.0,Middle,,"AWS, Kubernetes, Docker",77000.0,,62000.0,,30,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
38.0,female,berlin,Software Development,12.0,6.0,Senior,,C/C++,70000.0,8000,63000.0,,28,Full-time employee,Unlimited contract,English,1000+,Product,No,0.0,
31.0,male,berlin,Software Development,7.0,3.0,Lead,,"Python, SQL, Google Cloud, Kubernetes, Docker",76000.0,10000,69000.0,,27,Full-time employee,Unlimited contract,English,101-1000,Startup,No,,
35.0,male,berlin,Software Development,10.0,7.0,Senior,,"Go, AWS, Kubernetes, Docker, Elixir",75000.0,,72000.0,15000,30,Full-time employee,Unlimited contract,English,101-1000,Product,No,0.0,500
28.0,female,berlin,Other Roles,7.0,7.0,Middle,,,45000.0,,37000.0,,28,Full-time employee,Unlimited contract,German,1000+,Product,No,,
29.0,female,berlin,Operations & Support,8.0,5.0,Senior,,,60000.0,,52000.0,,28,Full-time employee,Unlimited contract,English,51-100,Startup,Yes,,
32.0,male,berlin,Software Development,8.0,5.0,Senior,,"PHP, SQL, AWS, Kubernetes, Docker",65000.0,,60000.0,,30,Full-time employee,Unlimited contract,English,11-50,Product,No,0.0,
44.0,male,berlin,Software Development,12.0,3.0,Senior,,"SQL, Go, Kubernetes, Docker",68000.0,,68000.0,,26,Full-time employee,Unlimited contract,English,11-50,Product,No,,
,male,berlin,Software Development,,1.0,Senior,,,75000.0,,,,,Full-time employee,,English,,,No,0.0,
35.0,male,munich,Software Development,11.0,3.0,Senior,,"Javascript / Typescript, AWS, Kubernetes, Docker",65000.0,5000,65000.0,,29,Full-time employee,Unlimited contract,German,101-1000,Product,No,,2000
33.0,male,munich,Operations & Support,15.0,4.0,Lead,,"AWS, Google Cloud, Azure, Docker",90000.0,10000,78000.0,85000,30,Full-time employee,Unlimited contract,,101-1000,Product,No,,
29.0,male,berlin,Software Development,5.0,3.0,Senior,,"Java / Scala, AWS, Docker",75000.0,,58000.0,,30,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
66.0,male,munich,Software Development,40.0,4.0,Lead,,"Javascript / Typescript, Ruby, SQL",70000.0,,50000.0,,30,Full-time employee,Unlimited contract,German,51-100,Product,No,0.0,
39.0,female,berlin,Software Development,10.0,10.0,Senior,,"Javascript / Typescript, SQL",70500.0,1000,68000.0,,30,Full-time employee,Unlimited contract,German,101-1000,Consulting / Agency,No,,500
28.0,male,munich,Software Development,5.0,4.0,Senior,,"Kotlin, Javascript / Typescript, Java / Scala, SQL, AWS, Google Cloud, Kubernetes, Docker",72000.0,,56000.0,,28,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
34.0,male,munich,Software Development,5.0,5.0,Senior,,,73500.0,,70000.0,,27,Full-time employee,Unlimited contract,English,11-50,Product,No,,
34.0,male,munich,Software Development,13.0,3.0,Lead,.net,".NET, SQL",72000.0,72000,60000.0,60000,30,Full-time employee,Unlimited contract,English,51-100,Product,No,32.0,
32.0,male,munich,Software Development,7.0,5.0,Senior,,"Javascript / Typescript, Java / Scala",62000.0,,60000.0,,30,Full-time employee,Unlimited contract,German,101-1000,Consulting / Agency,No,,
38.0,male,stuttgart,Other Roles,15.0,5.0,Lead,hardware,,83000.0,,,,30,Full-time employee,Unlimited contract,English,1000+,Product,,,
32.0,male,berlin,Data & AI,10.0,10.0,Head,,,110000.0,30000,85000.0,15000,30,Full-time employee,Unlimited contract,English,1000+,Consulting / Agency,No,,
45.0,male,schleswig-holstein,Software Development,26.0,18.0,Senior,,"C/C++, .NET, SQL",93000.0,10000,93000.0,11000,30,Full-time employee,Unlimited contract,German,1000+,Product,No,,
48.0,male,london,Data & AI,23.0,0.0,,google,"Python, SQL, Go, Google Cloud, bash",110000.0,,,,,Company Director,Temporary contract,English,up to 10,Personal Ltd,Yes,,
28.0,male,berlin,Software Development,3.0,2.0,Middle,js,"Javascript / Typescript, SQL, AWS, Google Cloud, Kubernetes, Docker, Quorum",55000.0,,42000.0,,22,Full-time employee,Unlimited contract,English,11-50,Startup,No,24.0,
29.0,male,konstanz,Software Development,6.0,3.0,Middle,android,Kotlin,53000.0,,53000.0,,26,Full-time employee,Unlimited contract,English,11-50,Startup,No,20.0,
36.0,male,munich,Software Development,15.0,3.0,Senior,,PHP,55000.0,,55000.0,,28,Full-time employee,Unlimited contract,English,1000+,Product,No,,600
39.0,male,berlin,Software Development,10.0,2.0,Senior,,"Javascript / Typescript, .NET, SQL, Azure, Docker",75000.0,,65000.0,,30,Full-time employee,Unlimited contract,German,1000+,Consulting / Agency,No,,
29.0,male,munich,Software Development,7.0,3.0,Senior,,"Kotlin, Javascript / Typescript, Java / Scala, Docker",80000.0,5000,72000.0,2500,24,Full-time employee,Unlimited contract,English,1000+,Product,No,,1000
31.0,male,berlin,Management & Leadership,11.0,6.0,Lead,,"Python, Java / Scala, SQL, Go, AWS, Google Cloud, Kubernetes, Docker",80000.0,,79000.0,,27,Full-time employee,Unlimited contract,English,101-1000,Startup,No,40.0,200
30.0,male,berlin,Software Development,5.0,5.0,Middle,,,55000.0,,,,27,Full-time employee,Unlimited contract,English,1000+,Product,No,,
30.0,male,munich,Operations & Support,8.0,2.0,Middle,,,70200.0,75000,63000.0,63000,30,Full-time employee,Unlimited contract,English,1000+,Product,No,,
33.0,male,frankfurt,Software Development,4.0,0.0,Middle,,,50000.0,,,,24,Full-time employee,Unlimited contract,English,11-50,Consulting / Agency,No,,
27.0,male,berlin,Software Development,5.0,1.0,Senior,scala,Java / Scala,78000.0,,70000.0,,30,Full-time employee,Unlimited contract,English,1000+,Startup,No,,
26.0,female,munich,Data & AI,6.0,2.0,Middle,,"Python, C/C++, SQL, Docker",60000.0,10000,60000.0,60000,26,Full-time employee,Unlimited contract,English,1000+,Product,No,,
26.0,male,berlin,Software Development,8.0,3.0,Lead,,"Python, PHP, Javascript / Typescript, Go, Google Cloud, Kubernetes, Docker",85000.0,,75000.0,,28,Full-time employee,Unlimited contract,English,1000+,Product,No,,
31.0,female,berlin,Data & AI,6.0,2.0,Middle,,Python,60000.0,,50000.0,500,27,Full-time employee,Unlimited contract,English,101-1000,Startup,No,,500
30.0,male,berlin,Software Development,10.0,2.0,Senior,,"Python, Java / Scala, AWS, Docker",72000.0,,70000.0,,28,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
38.0,male,berlin,Other Roles,17.0,3.0,Middle,,,68500.0,30000,62400.0,122000,25,Full-time employee,Unlimited contract,English,1000+,Product,No,,8000
43.0,male,berlin,Software Development,5.0,3.0,Senior,,"Kotlin, Java / Scala",72000.0,,68000.0,,30,Full-time employee,Unlimited contract,English,1000+,Product,No,,
33.0,male,berlin,Software Development,5.0,1.0,Middle,,Kubernetes,65000.0,,65000.0,,30,Full-time employee,Unlimited contract,English,101-1000,Product,No,0.0,
31.0,male,berlin,Software Development,9.0,,Senior,,"Python, .NET, AWS, Azure, Kubernetes, Docker",60000.0,,,,25,Full-time employee,Unlimited contract,English,11-50,Startup,No,,
32.0,female,berlin,Operations & Support,10.0,,Senior,,"Kotlin, Javascript / Typescript, SQL, Docker",61000.0,,55000.0,,30,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
24.0,male,berlin,Data & AI,4.0,2.0,Senior,,"Python, AWS, Docker",73000.0,73000,50000.0,50000,24,Full-time employee,Unlimited contract,English,101-1000,Startup,No,0.0,
29.0,male,berlin,Operations & Support,7.0,1.0,Lead,,"Python, Go, AWS, Kubernetes",78000.0,10000,70000.0,,28,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
29.0,male,berlin,Data & AI,4.0,4.0,Senior,,"SQL, AWS, Docker",81000.0,,72000.0,,29,Full-time employee,Unlimited contract,English,101-1000,Product,No,,300
30.0,male,munich,Other Roles,5.0,5.0,Senior,vhdl,Python,75000.0,10000,73000.0,8000,30,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
35.0,female,berlin,Data & AI,3.0,2.0,Middle,power,"Python, Javascript / Typescript, SQL, SAP / ABAP, Google Cloud, Azure",55000.0,3000,45000.0,,31,Full-time employee,Unlimited contract,German,1000+,Product,No,,
27.0,female,hamburg,Other Roles,6.0,1.0,Senior,,,50000.0,,,,28,Full-time employee,Temporary contract,English,101-1000,Product,No,,
32.0,female,berlin,Management & Leadership,8.0,8.0,No level,,,55000.0,,,,27,Full-time employee,Unlimited contract,German,11-50,Consulting / Agency,No,,
33.0,male,munich,Operations & Support,5.0,1.0,Senior,,Docker,60000.0,,,,30,Full-time employee,Unlimited contract,English,1000+,Product,No,,
28.0,male,berlin,Software Development,8.0,3.0,Lead,,"Python, Javascript / Typescript, .NET, SQL, AWS, Azure, Kubernetes, Docker",80000.0,,72000.0,,30,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
31.0,female,munich,Management & Leadership,14.0,7.0,Middle,none,,80000.0,,80000.0,,30,Full-time employee,Unlimited contract,German,1000+,Product,No,,
32.0,male,munich,Software Development,7.0,3.0,Senior,,Kotlin,60000.0,,60000.0,,38,Full-time employee,Unlimited contract,English,51-100,Product,No,40.0,
30.0,male,berlin,Software Development,8.0,2.5,Senior,,"Python, Kotlin, Java / Scala, SQL, Kubernetes, Docker",80000.0,,60000.0,,25,Full-time employee,Unlimited contract,English,1000+,Product,No,,
26.0,male,munich,Software Development,7.0,,Senior,,,78000.0,4000,61000.0,,27,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
31.0,male,munich,Software Development,10.0,2.0,Senior,,"Python, Javascript / Typescript, SQL, Kubernetes, Docker",68000.0,,68000.0,,30,Full-time employee,Unlimited contract,English,1000+,Product,No,,
38.0,female,munich,Operations & Support,6.0,2.0,Middle,,,62000.0,,62000.0,,26,Full-time employee,Unlimited contract,English,1000+,Product,No,,
37.0,male,berlin,Software Development,10.0,3.0,Senior,,"PHP, Javascript / Typescript, SQL",55000.0,,55000.0,,26,Full-time employee,Unlimited contract,English,11-50,Startup,No,,
25.0,male,munich,Software Development,3.0,1.0,Middle,,"Python, SQL, AWS, Azure, Kubernetes, Docker",62000.0,,55000.0,,30,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
36.0,male,berlin,Software Development,12.0,4.0,Senior,,"Javascript / Typescript, AWS, Docker",72000.0,,72000.0,,26,Full-time employee,Unlimited contract,English,up to 10,Startup,No,,
27.0,male,munich,Operations & Support,5.0,1.0,Senior,swift,"Kotlin, Ruby",58000.0,5800,58000.0,101,30,Full-time employee,Unlimited contract,English,1000+,Product,No,,
35.0,male,frankfurt,Data & AI,12.0,10.0,Senior,ml,"Python, Java / Scala, R, SQL, AWS, Azure",120000.0,30000,90000.0,30000,30,Full-time employee,Unlimited contract,English,1000+,Product,No,0.0,
37.0,male,munich,Software Development,15.0,2.0,Senior,,"PHP, Javascript / Typescript, SQL, Docker",75000.0,,72500.0,,30,Full-time employee,Unlimited contract,German,101-1000,Product,No,,200
26.0,male,munich,Data & AI,3.0,2.0,Middle,,"Python, SQL, AWS, Docker",65000.0,7000,52000.0,300,30,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
33.0,male,frankfurt,Software Development,6.0,6.0,Middle,,"SQL, AWS, Google Cloud, Kubernetes, Docker",85000.0,40000,78000.0,7000,28,Full-time employee,Unlimited contract,English,1000+,Product,No,,
34.0,male,berlin,Software Development,7.0,1.0,Senior,,Docker,65000.0,,,,25,Full-time employee,Unlimited contract,English,up to 10,Startup,No,,
33.0,male,berlin,Software Development,12.0,6.0,Lead,,"Javascript / Typescript, SQL, AWS, Docker",65000.0,,60000.0,,27,Full-time employee,Unlimited contract,English,101-1000,Product,No,0.0,
,male,berlin,Operations & Support,6.0,6.0,Middle,,"Javascript / Typescript, AWS",50000.0,,45000.0,,30,Full-time employee,Unlimited contract,English,101-1000,Product,No,0.0,
29.0,male,berlin,Software Development,8.0,0.0,Senior,,"Java / Scala, AWS, Kubernetes, Docker",72000.0,,,,25,Full-time employee,Unlimited contract,English,101-1000,Startup,No,,
24.0,male,munich,Software Development,5.0,2.0,Middle,,"Javascript / Typescript, Go",79000.0,56000,77000.0,33000,30,Full-time employee,Unlimited contract,English,1000+,Product,No,,900
28.0,female,munich,Operations & Support,6.0,2.0,Middle,,,65000.0,3000,42000.0,,25,Full-time employee,Unlimited contract,English,1000+,Product,No,,1600
30.0,female,berlin,Software Development,8.0,2.0,Senior,,"Javascript / Typescript, SQL, AWS, Kubernetes, Docker",75000.0,,65000.0,,35,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
28.0,male,cologne,Data & AI,8.0,1.0,Senior,,"Python, Javascript / Typescript",60000.0,12000,,,28,Full-time employee,Unlimited contract,English,up to 10,Consulting / Agency,No,,1500
31.0,male,munich,Software Development,11.0,1.0,Senior,,"Javascript / Typescript, Java / Scala, AWS, Kubernetes, Docker",80000.0,4000,80000.0,,30,Full-time employee,Unlimited contract,English,1000+,Product,No,,
28.0,male,munich,Software Development,5.0,3.0,Senior,,Swift,57000.0,8000,70000.0,,30,Full-time employee,Unlimited contract,English,1000+,Product,No,,
32.0,female,kempten,Software Development,10.0,1.0,Middle,,"Javascript / Typescript, .NET, SQL",49000.0,,,,30,Full-time employee,Unlimited contract,English and German,51-100,Product,No,,
28.0,male,berlin,Software Development,6.0,2.0,Senior,,"Kotlin, Java / Scala, SQL, AWS, Kubernetes, Docker",65000.0,75000,60000.0,60000,28,Full-time employee,Unlimited contract,English,11-50,Startup,No,,
26.0,female,munich,Data & AI,3.0,1.0,Junior,,"Python, AWS, Docker",70000.0,12000,,,28,Full-time employee,Unlimited contract,English,1000+,Product,No,,
33.0,male,berlin,Software Development,6.0,4.0,Middle,,,63000.0,6300,60000.0,6000,28,Full-time employee,Unlimited contract,English,101-1000,Product,No,,850
41.0,male,munich,Management & Leadership,18.0,3.0,Middle,,,72000.0,,60000.0,,30,Full-time employee,Unlimited contract,English,1000+,Product,No,,
31.0,male,berlin,Software Development,9.0,1.0,Senior,,"Python, Javascript / Typescript, .NET, AWS, Azure, Kubernetes, Docker",60000.0,6000,,,25,Full-time employee,Unlimited contract,English,11-50,Startup,No,,
30.0,male,munich,Software Development,6.0,1.0,Senior,,"Javascript / Typescript, AWS, Docker",75000.0,101,,,28,Full-time employee,Unlimited contract,English,51-100,Product,No,0.0,
31.0,male,berlin,Software Development,8.0,1.0,Senior,,"Javascript / Typescript, Google Cloud, Docker",70000.0,101,,,24,Full-time employee,Unlimited contract,English,101-1000,Startup,No,,
37.0,male,munich,Software Development,12.0,4.0,Senior,,"Javascript / Typescript, Docker",62000.0,5000,60000.0,5000,28,Full-time employee,Unlimited contract,English,101-1000,Product,No,32.0,
30.0,male,berlin,Software Development,10.0,5.0,Lead,,"Python, SQL",78000.0,1000,75000.0,1000,,Full-time employee,Unlimited contract,English,101-1000,Startup,No,30.0,
34.0,male,munich,,17.0,6.0,Lead,,"Python, Java / Scala, R, SQL, Go, AWS, Google Cloud, Azure, Kubernetes, Docker",120000.0,20000,110000.0,10000,32,Full-time employee,Unlimited contract,German,1000+,Consulting / Agency,No,,5000
25.0,male,munich,Software Development,5.0,0.0,Senior,,"Kotlin, Java / Scala, SQL, SAP / ABAP, Kubernetes, Docker",75000.0,5000,,,24,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
36.0,male,berlin,Software Development,19.0,5.0,Senior,,"Javascript / Typescript, SQL, AWS, Docker",69000.0,,69000.0,,28,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
40.0,male,berlin,Software Development,7.0,1.0,Middle,,"PHP, Javascript / Typescript, Dart",54000.0,,54000.0,,24,Full-time employee,Unlimited contract,English,11-50,Product,No,10.0,
37.0,male,berlin,Management & Leadership,6.0,6.0,Middle,,,62000.0,62000,58000.0,60000,30,Full-time employee,Unlimited contract,German,101-1000,Product,No,,
35.0,male,munich,Software Development,13.0,4.0,Senior,,"Kotlin, Java / Scala, AWS",80000.0,1500,77000.0,1500,40,Full-time employee,Unlimited contract,English,101-1000,Product,No,30.0,
42.0,male,berlin,Software Development,20.0,5.0,Senior,,"Ruby, Kubernetes, Docker",80000.0,,72000.0,,27,Full-time employee,Unlimited contract,German,51-100,Product,No,,
34.0,male,berlin,Operations & Support,10.0,4.0,Senior,,"Python, Kotlin, Javascript / Typescript, Go, AWS, Kubernetes, Docker",75000.0,3000,65000.0,3000,28,Full-time employee,Unlimited contract,English,101-1000,Startup,No,,
30.0,male,berlin,Software Development,6.0,2.0,Senior,,"SQL, Elixir",75000.0,75000,65000.0,65000,30,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
35.0,male,berlin,Software Development,12.0,1.0,Senior,,".NET, SQL, Google Cloud, Kubernetes, Docker",70000.0,22000,,,25,Full-time employee,Unlimited contract,English,1000+,Product,No,,200
34.0,male,munich,Software Development,10.0,4.0,Senior,azure,"SAP / ABAP, AWS, Google Cloud, Azure, Kubernetes, Docker",120000.0,40000,70000.0,30000,30,Full-time employee,Unlimited contract,English,1000+,Cloud,No,0.0,1000
35.0,male,berlin,Other Roles,10.0,4.0,Senior,,,70000.0,,65000.0,,25,Full-time employee,Unlimited contract,English,51-100,Product,No,,
35.0,male,berlin,Operations & Support,14.0,1.0,Middle,,,44000.0,,,,27,Full-time employee,Temporary contract,English,101-1000,Startup,No,,
28.0,male,hamburg,Software Development,7.0,,Senior,,"Python, Java / Scala, Perl",80000.0,5000,,,30,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
26.0,male,munster,Data & AI,5.5,3.0,Junior,,"Python, C/C++, SQL, AWS",48000.0,2000,,,26,Full-time employee,Unlimited contract,German,1000+,Product,No,,
35.0,male,berlin,Software Development,4.0,1.0,Middle,,PHP,50000.0,5000,,,28,Full-time employee,Unlimited contract,English,101-1000,Product,No,,500
31.0,female,munich,Operations & Support,7.0,3.0,Senior,,"Python, Ruby",68000.0,,58000.0,,30,Full-time employee,Unlimited contract,English,1000+,Product,No,40.0,
35.0,male,frankfurt,Software Development,12.0,3.0,Senior,,"Python, Kotlin, Javascript / Typescript, Java / Scala, Docker",66000.0,,66000.0,,25,Full-time employee,Unlimited contract,German,51-100,Consulting / Agency,No,,1
28.0,male,berlin,Management & Leadership,3.0,3.0,Middle,,,51000.0,1500,,,27,Full-time employee,Unlimited contract,English,51-100,Product,No,,
